312,94230,M,22,0,1
313,94386,M,61,0,1
314,94490,F,52,0,1
315,95079,F,25,0,1
316,95620,F,58,1,1
317,96180,F,68,0,1
318,98221,M,22,0,1
319,98690,F,62,1,1
320,101801,F,25,0,1
321,102678,M,22,0,1
322,103467,F,48,0,1
323,103677,M,53,0,1
324,104073,F,25,0,1
325,104109,M,24,0,1
326,109281,M,28,0,1
327,110897,M,72,1,1
328,113355,M,49,1,1
329,113640,M,70,1,1
330,116887,M,68,0,1
331,123936,M,82,0,1
332,124248,F,60,1,1
333,124844,F,37,0,1
334,128617,M,88,0,1
335,129006,M,71,1,1
336,130024,M,58,1,1
337,130765,F,94,0,1
338,130908,F,80,1,1
339,131022,F,75,1,1
340,131060,F,93,0,1
341,131164,F,90,0,1
342,131270,M,93,0,1
343,131290,F,99,1,1
344,131447,F,77,0,1
345,131487,F,84,0,1
346,131509,F,88,0,1
347,131520,F,97,0,1
348,131612,F,80,0,1
349,131738,M,93,0,1
350,131966,M,90,1,1
351,131972,M,91,1,1
352,131980,M,90,1,1
353,132071,F,78,0,1
354,132091,F,52,0,1
355,132196,M,92,1,1
356,132399,M,75,0,1
357,132496,M,84,1,1
358,132501,M,76,1,1
359,132906,M,77,0,1
360,132917,F,54,0,1
361,133012,M,79,0,1
362,133262,M,80,1,1
363,133382,M,76,0,1
364,133583,M,24,0,1
365,134284,M,88,1,1
366,134287,M,74,1,1
367,134440,M,73,0,1
368,134451,M,73,1,1
369,136383,M,77,1,1
370,137218,F,78,1,1
371,137567,F,77,0,1
372,138373,M,40,1,1
373,139577,M,78,1,1
374,141123,M,67,0,1
375,143470,F,72,0,1
376,144296,F,66,1,1
377,146186,M,61,1,1
378,150627,F,49,0,1
379,150782,M,21,0,1
380,152602,F,21,0,1
381,152607,M,69,0,1
382,155092,M,68,1,1
383,155313,M,77,1,1
384,155476,M,81,1,1
385,155576,M,71,1,1
386,156611,M,91,1,1
387,156708,M,79,1,1
388,157270,F,27,0,1
389,158228,F,81,0,1
390,158341,F,83,0,1
391,158439,F,77,0,1
392,158512,F,91,0,1
393,158689,M,71,1,1
394,158913,F,54,0,1
395,158945,F,68,1,1
396,160191,M,77,1,1
397,160508,M,63,1,1
398,161398,M,57,1,1
399,161571,F,75,0,1
400,162104,F,37,0,1
401,162472,M,88,1,1
402,162980,F,77,1,1
403,163307,M,48,0,1
404,200003067,F,48,0,1
405,200005176,F,64,0,1
406,200006546,M,64,0,1
407,200009672,M,74,0,1
408,200010391,F,73,1,1
409,200016281,F,49,0,1
410,200019471,M,35,0,1
411,200019903,M,83,0,1
412,200022007,M,18,0,1
413,200022301,M,69,1,1
414,200022837,F,39,0,1
415,200023716,F,48,0,1
416,200025609,F,45,1,1
417,200026442,M,59,0,1
